['Time', 'Result', 'Bet', 'Lose Streak', 'Martingale Base', 'Martingale Growth', 'Martingale', type, prob, strategy, moeda, caixa, profit, min_profit]
[datetime.datetime(2022, 11, 20, 18, 27, 4, 165494), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.5901642, 'Stop Loss', 'EURUSD-OTC', 17885.2, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 29, 4, 162845), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.7249295, 'Stop Loss', 'EURUSD-OTC', 17888.83, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 31, 4, 183644), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7385207, 'Stop Loss', 'EURUSD-OTC', 17886.83, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 33, 4, 153616), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.716406, 'Stop Loss', 'EURUSD-OTC', 17890.47, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 35, 4, 218370), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7774416, 'Stop Loss', 'EURUSD-OTC', 17888.47, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 37, 4, 355838), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.61897755, 'Stop Loss', 'EURUSD-OTC', 17884.24, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 39, 4, 295422), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.5562432, 'Stop Loss', 'EURUSD-OTC', 17893.51, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 41, 4, 179637), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.51003593, 'Stop Loss', 'EURUSD-OTC', 17891.51, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 43, 4, 121975), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.5273235, 'Stop Loss', 'EURUSD-OTC', 17887.27, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 45, 4, 164498), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.51987314, 'Stop Loss', 'EURUSD-OTC', 17896.54, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 47, 4, 207743), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Put', 0.5436076, 'Stop Loss', 'EURUSD-OTC', 17898.26, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 49, 4, 279972), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Put', 0.56265885, 'Stop Loss', 'EURUSD-OTC', 17896.26, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 51, 4, 192447), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.5782961, 'Stop Loss', 'EURUSD-OTC', 17899.9, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 53, 4, 227759), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.5068932, 'Stop Loss', 'EURUSD-OTC', 17897.9, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 55, 4, 476083), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.68393177, 'Stop Loss', 'EURUSD-OTC', 17893.67, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 57, 4, 243374), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.6092873, 'Stop Loss', 'EURUSD-OTC', 17904.65, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 59, 4, 246330), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Put', 0.65619284, 'Stop Loss', 'EURUSD-OTC', 17904.37, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 1, 4, 258805), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.6377304, 'Stop Loss', 'EURUSD-OTC', 17902.37, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 3, 4, 237849), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.62112033, 'Stop Loss', 'EURUSD-OTC', 17898.14, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 5, 4, 255941), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.6082352, 'Stop Loss', 'EURUSD-OTC', 17907.41, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 7, 4, 240334), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.6111186, 'Stop Loss', 'EURUSD-OTC', 17909.13, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 9, 4, 265696), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.6265224, 'Stop Loss', 'EURUSD-OTC', 17910.85, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 11, 4, 263816), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.6480306, 'Stop Loss', 'EURUSD-OTC', 17912.57, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 13, 4, 167256), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.66453654, 'Stop Loss', 'EURUSD-OTC', 17910.57, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 15, 4, 219876), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.70017326, 'Stop Loss', 'EURUSD-OTC', 17906.34, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 17, 5, 47669), 'loose', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.748979, 'Stop Loss', 'EURUSD-OTC', 17895.56, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 19, 4, 193135), 'win', 32.95515475664674, 3, 2.1165, 1.2023, 3.059454276284999, 'Call', 0.7701628, 'Stop Loss', 'EURUSD-OTC', 17923.91, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 21, 4, 195878), 'loose', 2, 0, 2.1165, 1.2023, 3.059454276284999, 'Call', 0.79226154, 'Stop Loss', 'EURUSD-OTC', 17921.91, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 23, 4, 282530), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.7873133, 'Stop Loss', 'EURUSD-OTC', 17925.55, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 25, 4, 195440), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7888618, 'Stop Loss', 'EURUSD-OTC', 17923.55, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 27, 4, 181470), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.8074019, 'Stop Loss', 'EURUSD-OTC', 17919.31, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 29, 4, 206404), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.7782372, 'Stop Loss', 'EURUSD-OTC', 17928.58, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 31, 4, 211085), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.79233056, 'Stop Loss', 'EURUSD-OTC', 17926.58, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 33, 4, 224560), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.80121905, 'Stop Loss', 'EURUSD-OTC', 17922.35, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 35, 4, 163432), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.7991321, 'Stop Loss', 'EURUSD-OTC', 17931.62, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 37, 4, 917103), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.7741535, 'Stop Loss', 'EURUSD-OTC', 17933.34, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 39, 4, 242953), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.77626354, 'Stop Loss', 'EURUSD-OTC', 17929.34, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 41, 4, 237993), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.82513636, 'Stop Loss', 'EURUSD-OTC', 17925.1, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 43, 4, 326208), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.8085849, 'Stop Loss', 'EURUSD-OTC', 17934.37, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 45, 4, 200728), 'equal', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.8049577, 'Stop Loss', 'EURUSD-OTC', 17932.93, 0.86, 0.82]
